gene_id,logFC,unshrunk.logFC,logCPM,PValue,FDR,BH,BY,bf
ICA1L,-0.868985256865166,-0.869137800887011,3.18041372821969,0.00180506820003294,0.01600390140521,0.01600390140521,0.163287877715252,1
ZNF512B,0.817648066628984,0.817883869478374,1.28412538447685,0.00180532458755801,0.01600390140521,0.01600390140521,0.163287877715252,1
WDR7,-0.671033208715261,-0.671042424778039,6.62483215865295,0.00181018636108204,0.0160284975120049,0.0160284975120049,0.163538831903041,1
MAVS,-0.747581657546792,-0.747595017298056,6.0825638820257,0.0018116859970166,0.0160284975120049,0.0160284975120049,0.163538831903041,1
LUC7L2,-0.709255330569079,-0.70928103834902,5.21404251598941,0.00181395254491166,0.0160284975120049,0.0160284975120049,0.163538831903041,1
XPO7,-0.849463851827214,-0.84946584136727,9.21996437063433,0.00181409388345982,0.0160284975120049,0.0160284975120049,0.163538831903041,1
BET1,-1.0265643440198,-1.02658319900732,6.28378559333925,0.00181476605247637,0.0160284975120049,0.0160284975120049,0.163538831903041,1
VILL,0.95305510829426,0.953292380450404,1.39178537666099,0.00181612607952195,0.0160284975120049,0.0160284975120049,0.163538831903041,1
BCAP31,-0.861519393263043,-0.861523723094099,8.14222813842543,0.00181665912103325,0.0160284975120049,0.0160284975120049,0.163538831903041,1
CGRRF1,-0.889451266202099,-0.889478466130415,5.56143893681619,0.00181946006895514,0.0160284975120049,0.0160284975120049,0.163538831903041,1
SPOCK2,1.04745159625539,1.04768336161297,1.71424737157886,0.00182020751056932,0.0160284975120049,0.0160284975120049,0.163538831903041,1
SLC9A9,-0.945418027788085,-0.945424472017515,7.86183288885462,0.00182069523036775,0.0160284975120049,0.0160284975120049,0.163538831903041,1
NPIPB15,1.48938773058624,1.4917790513602,-0.927672532140652,0.00182101408991468,0.0160284975120049,0.0160284975120049,0.163538831903041,1
KMT2C,-0.845306344527992,-0.845307511396628,9.89450481933664,0.00182164486175447,0.0160284975120049,0.0160284975120049,0.163538831903041,1
SPA17,-0.702783414401631,-0.703249838117622,1.02353083678672,0.00182185298453283,0.0160284975120049,0.0160284975120049,0.163538831903041,1
ATF5,0.745616976068172,0.74575368679998,1.82841475997414,0.00182316916894171,0.0160303900321324,0.0160303900321324,0.163558141294378,1
UGGT2,-0.883639727633968,-0.88368164248852,4.9706454934982,0.00182418431784794,0.0160303900321324,0.0160303900321324,0.163558141294378,1
GNAI1,-0.780125809865911,-0.780339051754172,2.24520478390897,0.00182976218265818,0.0160633141032773,0.0160633141032773,0.163894065739729,1
SLC30A6,-0.69538449182915,-0.695477003845842,3.45268954625155,0.00183219340167655,0.0160633141032773,0.0160633141032773,0.163894065739729,1
